Type,City Name,County Name,Old Rate,New Rate,Effective Date,Report Month,Report Year,Report Period Type
City List,Anna,Collin,2.000,2.000,04/01/2017,4,2017,MONTHLY
City List,Sinton,San Patricio,2.000,2.000,10/01/2016,4,2017,MONTHLY
City List,Haslet,Tarrant,2.000,2.000,10/01/2016,4,2017,MONTHLY
City List,Newcastle,Young,1.000,1.500,04/01/2016,4,2017,MONTHLY
City List,Granite Shoals,Burnet,1.750,2.000,10/01/2016,4,2017,MONTHLY
City List,South Padre Island,Cameron,2.000,2.000,04/01/2016,4,2017,MONTHLY
City List,Waskom,Harrison,1.000,2.000,10/01/2016,4,2017,MONTHLY
City List,Yorktown,Dewitt,1.250,1.500,10/01/2015,9,2016,"MONTHLY"""
City List,Lone Oak,Hunt,1.250,1.500,04/01/2016,9,2016,"MONTHLY"""
City List,Los Indios,Cameron,1.750,2.000,01/01/2017,4,2017,MONTHLY
City List,Double Oak,Denton,1.000,2.000,10/01/2016,4,2017,MONTHLY
City List,Three Rivers,Live Oak,1.250,1.500,10/01/2016,4,2017,MONTHLY
City List,Buffalo Gap,Taylor,2.000,1.750,10/01/2016,4,2017,MONTHLY
City List,Higgins,Lipscomb,2.000,2.000,04/01/2017,4,2017,MONTHLY
City List,Pattison,Waller,1.000,2.000,10/01/2016,4,2017,MONTHLY
City List,Combes,Cameron,1.250,1.750,10/01/2015,9,2016,"MONTHLY"""
City List,Rocksprings,Edwards,1.750,1.500,10/01/2015,9,2016,"MONTHLY"""
City List,Panhandle,Carson,1.750,2.000,10/01/2015,9,2016,"MONTHLY"""
City List,Stratford,Sherman,1.750,1.500,10/01/2015,9,2016,"MONTHLY"""
City List,Lone Oak,Hunt,1.250,1.500,04/01/2016,4,2017,MONTHLY
City List,Grandview,Johnson,2.000,2.000,04/01/2016,4,2017,MONTHLY
City List,Sundown,Hockley,2.000,2.000,04/01/2017,4,2017,MONTHLY
City List,Follett,Lipscomb,1.000,2.000,10/01/2016,4,2017,MONTHLY
City List,Lucas,Collin,1.500,1.500,10/01/2016,4,2017,MONTHLY
SPD List,Brownwood Mun Dev Dist,,0.000,0.500,10/01/2016,4,2017,MONTHLY
City List,Goliad,Goliad,1.500,2.000,01/01/2016,10,2016,MONTHLY
City List,Elmendorf,Bexar,1.000,1.500,10/01/2016,10,2016,MONTHLY
City List,Burton,Washington,1.000,1.500,10/01/2016,4,2017,MONTHLY
City List,Vega,Oldham,1.000,1.500,10/01/2016,4,2017,MONTHLY
SPD List,Harris Co ESD 47,,0.000,1.000,04/01/2016,4,2017,MONTHLY
SPD List,Montgomery Co ESD 2,,0.000,2.000,10/01/2016,4,2017,MONTHLY
City List,Port Arthur,Jefferson,1.500,1.500,10/01/2016,4,2017,MONTHLY
City List,Streetman,Freestone,1.000,1.500,04/01/2017,4,2017,MONTHLY
City List,Grandview,Johnson,2.000,2.000,04/01/2017,4,2017,MONTHLY
City List,Gustine,Comanche,1.000,1.500,04/01/2017,4,2017,MONTHLY
City List,Cleburne,Johnson,1.500,2.000,04/01/2016,4,2017,MONTHLY
City List,Millsap,Parker,1.000,1.250,10/01/2016,4,2017,MONTHLY
SPD List,Hardin Co ESD 6,,0.000,2.000,04/01/2016,4,2017,MONTHLY
City List,Bartonville,Denton,1.750,1.750,10/01/2016,4,2017,MONTHLY
City List,Haltom City,Tarrant,1.750,1.750,10/01/2016,4,2017,MONTHLY
City List,Krum,Denton,2.000,1.750,10/01/2016,4,2017,MONTHLY
SPD List,Early Mun Dev Dist,,0.000,0.500,10/01/2016,10,2016,MONTHLY
SPD List,Harris Co ESD 24,,0.000,1.000,10/01/2016,4,2017,MONTHLY
City List,Dish,Denton,0.000,2.000,10/01/2016,4,2017,MONTHLY
SPD List,Burnet Co ESD 9,,0.000,2.000,04/01/2016,4,2017,MONTHLY
SPD List,Hardin Co ESD 6,,0.000,2.000,04/01/2016,10,2016,MONTHLY
City List,Helotes,Bexar,1.500,1.750,04/01/2016,4,2017,MONTHLY
City List,Ivanhoe,Tyler,1.250,1.500,04/01/2017,4,2017,MONTHLY
City List,Jacinto City,Harris,1.000,2.000,10/01/2016,4,2017,MONTHLY
SPD List,Tyler Co ESD 2,,0.000,1.500,04/01/2017,4,2017,MONTHLY
SPD List,Hays Co ESD 5-A,,0.000,1.500,10/01/2016,4,2017,MONTHLY
SPD List,Caldwell Hays ESD 1-A,,0.000,1.500,10/01/2015,10,2016,MONTHLY
SPD List,BEXAR CO ESD 7,,0.000,1.500,10/01/2016,4,2017,MONTHLY
City List,Alma,Ellis,1.250,2.000,10/01/2016,4,2017,MONTHLY
City List,Talty,Kaufman,1.500,2.000,10/01/2016,4,2017,MONTHLY
City List,Penitas,Hidalgo,1.500,1.500,07/01/2016,8,2017,MONTHLY
City List,Copperas Cove,Coryell,1.500,1.500,07/01/2017,8,2017,MONTHLY
City List,Follett,Lipscomb,1.000,2.000,10/01/2016,8,2017,MONTHLY
City List,Haslet,Tarrant,2.000,2.000,10/01/2016,8,2017,MONTHLY
City List,Millsap,Parker,1.000,1.250,10/01/2016,8,2017,MONTHLY
City List,Cranfills Gap,Bosque,1.000,1.500,10/01/2016,8,2017,MONTHLY
SPD List,Hughes Spgs Mun Dev Dist,,0.000,0.500,04/01/2017,8,2017,MONTHLY
SPD List,Williamson Co ESD 3,,0.000,2.000,10/01/2016,8,2017,MONTHLY
City List,Yorktown,Dewitt,1.250,1.500,10/01/2015,10,2016,MONTHLY
City List,Newcastle,Young,1.000,1.500,04/01/2016,10,2016,MONTHLY
City List,Leon Valley,Bexar,1.375,1.375,07/01/2017,8,2017,MONTHLY
City List,Granite Shoals,Burnet,1.750,2.000,10/01/2016,8,2017,MONTHLY
City List,Higgins,Lipscomb,2.000,2.000,04/01/2017,8,2017,MONTHLY
City List,Brownwood,Brown,2.000,1.500,10/01/2016,10,2016,MONTHLY
SPD List,Bexar Co ESD 7,,0.000,1.500,10/01/2016,8,2017,MONTHLY
City List,Burton,Washington,1.000,1.500,10/01/2016,8,2017,MONTHLY
City List,Double Oak,Denton,1.000,2.000,10/01/2016,8,2017,MONTHLY
City List,Hallsville,Harrison,1.000,2.000,10/01/2016,5,2017,MONTHLY
City List,Millsap,Parker,1.000,1.250,10/01/2016,5,2017,MONTHLY
City List,Anson,Jones,2.000,2.000,04/01/2017,5,2017,MONTHLY
SPD List,Hardin Co ESD 6,,0.000,2.000,04/01/2016,5,2017,MONTHLY
SPD List,Harris Co ESD 47,,0.000,1.000,04/01/2016,5,2017,MONTHLY
City List,Early,Brown,2.000,1.500,10/01/2016,5,2017,MONTHLY
City List,Three Rivers,Live Oak,1.250,1.500,10/01/2016,5,2017,MONTHLY
City List,Annetta North,Parker,1.250,1.500,04/01/2017,5,2017,MONTHLY
SPD List,BEXAR CO ESD 7,,0.000,1.500,10/01/2016,5,2017,MONTHLY
City List,Buffalo Gap,Taylor,2.000,1.750,10/01/2016,5,2017,MONTHLY
City List,Higgins,Lipscomb,2.000,2.000,04/01/2017,5,2017,MONTHLY
City List,Grandview,Johnson,2.000,2.000,04/01/2017,5,2017,MONTHLY
City List,Granite Shoals,Burnet,1.750,2.000,10/01/2016,5,2017,MONTHLY
SPD List,Liberty Co ESD 7,,0.000,0.500,10/01/2016,5,2017,MONTHLY
City List,Elmendorf,Bexar,1.000,1.500,10/01/2016,5,2017,MONTHLY
City List,Follett,Lipscomb,1.000,2.000,10/01/2016,5,2017,MONTHLY
City List,Pattison,Waller,1.000,2.000,10/01/2016,5,2017,MONTHLY
City List,Jacinto City,Harris,1.000,2.000,10/01/2016,5,2017,MONTHLY
City List,Krum,Denton,2.000,1.750,10/01/2016,5,2017,MONTHLY
SPD List,Copper Canyon Crime Control,,0.000,1.000,04/01/2016,5,2017,MONTHLY
City List,Sanctuary,Parker,1.250,1.000,10/01/2016,5,2017,MONTHLY
SPD List,Early Mun Dev Dist,,0.000,0.500,10/01/2016,5,2017,MONTHLY
City List,Haltom City,Tarrant,1.750,1.750,10/01/2016,5,2017,MONTHLY
SPD List,Palo Pinto Co ESD 2,,0.000,1.500,04/01/2016,5,2017,MONTHLY
City List,Newcastle,Young,1.000,1.500,04/01/2016,5,2017,MONTHLY
SPD List,Williamson Co ESD 3,,0.000,2.000,10/01/2016,5,2017,MONTHLY
City List,Cranfills Gap,Bosque,1.000,1.500,10/01/2016,5,2017,MONTHLY
SPD List,Blanco Co ESD 1,,0.000,1.000,04/01/2016,5,2017,MONTHLY
City List,Lone Oak,Hunt,1.250,1.500,04/01/2016,5,2017,MONTHLY
City List,Cleburne,Johnson,1.500,2.000,04/01/2016,5,2017,MONTHLY
SPD List,Generation Pk Mg Dist,,0.000,2.000,04/01/2016,5,2017,MONTHLY
City List,Waskom,Harrison,1.000,2.000,10/01/2016,5,2017,MONTHLY
City List,Burton,Washington,1.000,1.500,10/01/2016,5,2017,MONTHLY
City List,Lucas,Collin,1.500,1.500,10/01/2016,5,2017,MONTHLY
City List,Rio Vista,Johnson,1.500,1.500,10/01/2016,5,2017,MONTHLY
City List,Port Arthur,Jefferson,1.500,1.500,10/01/2016,5,2017,MONTHLY
City List,Del Rio,Val Verde,1.500,1.500,10/01/2016,5,2017,MONTHLY
City List,Dish,Denton,0.000,2.000,10/01/2016,5,2017,MONTHLY
SPD List,Krum Crime Control,,0.000,0.250,10/01/2016,5,2017,MONTHLY
City List,Sinton,San Patricio,2.000,2.000,10/01/2016,5,2017,MONTHLY
City List,Penitas,Hidalgo,1.500,1.500,07/01/2016,5,2017,MONTHLY
City List,Ivanhoe,Tyler,1.250,1.500,04/01/2017,5,2017,MONTHLY
City List,Streetman,Freestone,1.250,1.000,04/01/2016,5,2017,MONTHLY
City List,Alma,Ellis,1.250,2.000,10/01/2016,5,2017,MONTHLY
City List,Talty,Kaufman,1.500,2.000,10/01/2016,5,2017,MONTHLY
SPD List,Burnet Co ESD 9,,0.000,2.000,04/01/2016,5,2017,MONTHLY
City List,Brownwood,Brown,2.000,1.500,10/01/2016,5,2017,MONTHLY
SPD List,Williamson Co ESD 5,,0.000,2.000,04/01/2017,5,2017,MONTHLY
City List,Double Oak,Denton,1.000,2.000,10/01/2016,5,2017,MONTHLY
SPD List,Brownwood Mun Dev Dist,,0.000,0.500,10/01/2016,5,2017,MONTHLY
City List,Moulton,Lavaca,1.750,2.000,10/01/2016,5,2017,MONTHLY
SPD List,Williamson Co ESD 4,,0.000,1.000,04/01/2016,5,2017,MONTHLY
City List,Los Indios,Cameron,1.750,2.000,01/01/2017,5,2017,MONTHLY
SPD List,Hays Co ESD 5-A,,0.000,1.500,10/01/2016,5,2017,MONTHLY
SPD List,Medina Co ESD 1,,0.000,1.500,04/01/2016,5,2017,MONTHLY
SPD List,Hughes Spgs Mun Dev Dist,,0.000,0.500,04/01/2017,5,2017,MONTHLY
City List,Vega,Oldham,1.000,1.500,10/01/2016,5,2017,MONTHLY
City List,Helotes,Bexar,1.500,1.750,04/01/2016,5,2017,MONTHLY
City List,Danbury,Brazoria,1.000,1.500,10/01/2016,5,2017,MONTHLY
City List,Grandview,Johnson,2.000,2.000,04/01/2016,5,2017,MONTHLY
City List,Gustine,Comanche,1.000,1.500,04/01/2017,5,2017,MONTHLY
SPD List,Sunset Valley Crm Cont,,0.000,0.125,04/01/2017,5,2017,MONTHLY
SPD List,Blanco Co ESD 2,,0.000,1.000,04/01/2016,5,2017,MONTHLY
SPD List,Montgomery Co ESD 14,,0.000,1.000,10/01/2016,5,2017,MONTHLY
City List,Haslet,Tarrant,2.000,2.000,10/01/2016,5,2017,MONTHLY
City List,South Padre Island,Cameron,2.000,2.000,04/01/2016,5,2017,MONTHLY
City List,El Cenizo,Webb,1.000,1.500,04/01/2017,5,2017,MONTHLY
SPD List,Harris Co ESD 24,,0.000,1.000,10/01/2016,5,2017,MONTHLY
City List,Bartonville,Denton,1.750,1.750,10/01/2016,5,2017,MONTHLY
SPD List,Tyler Co ESD 2,,0.000,1.500,04/01/2017,5,2017,MONTHLY
SPD List,Medina Co ESD 6,,0.000,1.500,04/01/2016,5,2017,MONTHLY
City List,Friendswood,Galveston,1.500,2.000,01/01/2017,5,2017,MONTHLY
City List,Streetman,Freestone,1.000,1.500,04/01/2017,5,2017,MONTHLY
City List,Sundown,Hockley,2.000,2.000,04/01/2017,5,2017,MONTHLY
City List,Crystal City,Zavala,2.000,1.750,10/01/2016,5,2017,MONTHLY
City List,Skellytown,Carson,1.250,1.000,10/01/2016,5,2017,MONTHLY
City List,Anna,Collin,2.000,2.000,04/01/2017,5,2017,MONTHLY
City List,Kingsbury,Guadalupe,0.000,1.500,04/01/2017,5,2017,MONTHLY
SPD List,Montgomery Co ESD 2,,0.000,2.000,10/01/2016,5,2017,MONTHLY
City List,Gustine,Comanche,1.000,1.500,04/01/2017,8,2017,MONTHLY
City List,El Cenizo,Webb,1.000,1.500,04/01/2017,8,2017,MONTHLY
City List,Skellytown,Carson,1.250,1.000,10/01/2016,8,2017,MONTHLY
City List,Del Rio,Val Verde,1.500,1.500,10/01/2016,8,2017,MONTHLY
SPD List,Liberty Co ESD 7,,0.000,0.500,10/01/2016,8,2017,MONTHLY
City List,Hamlin,Jones,2.000,1.500,07/01/2017,8,2017,MONTHLY
City List,Moulton,Lavaca,1.750,2.000,10/01/2016,8,2017,MONTHLY
City List,Alma,Ellis,1.250,2.000,10/01/2016,8,2017,MONTHLY
City List,Three Rivers,Live Oak,1.250,1.500,10/01/2016,8,2017,MONTHLY
