COUNTY,Measure Names,Profession,Measure Values
BELL ,RANK,Assistant Behavior Analyst,8
BEE ,RANK,Assistant Behavior Analyst,0
BAYLOR ,RANK,Assistant Behavior Analyst,0
BASTROP ,RANK,Assistant Behavior Analyst,0
BANDERA ,RANK,Assistant Behavior Analyst,0
BAILEY ,RANK,Assistant Behavior Analyst,0
AUSTIN ,RANK,Assistant Behavior Analyst,3
ATASCOSA ,RANK,Assistant Behavior Analyst,0
ARMSTRONG ,RANK,Assistant Behavior Analyst,0
ARCHER ,RANK,Assistant Behavior Analyst,0
ARANSAS ,RANK,Assistant Behavior Analyst,0
ANGELINA ,RANK,Assistant Behavior Analyst,0
ANDREWS ,RANK,Assistant Behavior Analyst,0
ANDERSON ,RANK,Assistant Behavior Analyst,0
ZAVALA ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
ZAPATA ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
YOUNG ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
YOAKUM ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
WOOD ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,2.166096261
WISE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
WINKLER ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
WILSON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
WILLIAMSON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0.306660983
WILLACY ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
WILBARGER ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
WICHITA ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,1.500431374
WHEELER ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
WHARTON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
WEBB ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
WASHINGTON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
WARD ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
WALLER ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,1.884658877
WALKER ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
VICTORIA ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
VAN ZANDT ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
VAL VERDE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
UVALDE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
UPTON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
UPSHUR ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
TYLER ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
TRINITY ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
TRAVIS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0.511643919
TOM GREEN ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
TITUS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
THROCKMORTON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
TERRY ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
TERRELL ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
TAYLOR ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
TARRANT ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0.444468545
SWISHER ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
SUTTON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
STONEWALL ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
STERLING ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
STEPHENS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
STARR ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
SOMERVELL ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
SMITH ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0.825181230
SHERMAN ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
SHELBY ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
SHACKELFORD ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
SCURRY ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
SCHLEICHER ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
SAN SABA ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
SAN PATRICIO ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,1.361210933
SAN JACINTO ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
SAN AUGUSTINE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
SABINE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
RUSK ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
RUNNELS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
ROCKWALL ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,1.805754941
ROBERTSON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
ROBERTS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
REFUGIO ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
REEVES ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
RED RIVER ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
REAL ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
REAGAN ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
RANDALL ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
RAINS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
PRESIDIO ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
POTTER ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
POLK ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
PECOS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
PARMER ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
PARKER ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
PANOLA ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
PALO PINTO ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
ORANGE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
OLDHAM ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
OCHILTREE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
NUECES ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0.502636328
NOLAN ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
NEWTON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
NAVARRO ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,2.086375965
NACOGDOCHES ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
MOTLEY ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
MORRIS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
MOORE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
MONTGOMERY ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,1.190244164
MONTAGUE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
MITCHELL ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
MILLS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
MILAM ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
MIDLAND ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
MENARD ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
MEDINA ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,1.918575649
MCMULLEN ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
MCLENNAN ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,1.161431193
MCCULLOCH ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
MAVERICK ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
MATAGORDA ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
MASON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
MARTIN ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
MARION ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
MADISON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
LYNN ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
LUBBOCK ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
LOVING ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
LLANO ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
LIVE OAK ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
LIPSCOMB ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
LIMESTONE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
LIBERTY ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
LEON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
LEE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
LAVACA ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
LAMPASAS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,4.658312759
LAMB ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
LAMAR ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
LA SALLE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
KNOX ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
KLEBERG ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
KINNEY ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
KING ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
KIMBLE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
KERR ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
KENT ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
KENEDY ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
KENDALL ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
KAUFMAN ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,1.505638617
KARNES ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
JONES ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
JOHNSON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0.560861933
JIM WELLS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
JIM HOGG ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
JEFFERSON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0.384411351
JEFF DAVIS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
JASPER ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
JACKSON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
JACK ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
IRION ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
HUTCHINSON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
HUNT ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
HUDSPETH ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,29.377203290
HOWARD ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
HOUSTON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
HOPKINS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
HOOD ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
HOCKLEY ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
HILL ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
HIDALGO ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0.556977085
HENDERSON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,1.224304901
HEMPHILL ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
HAYS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
HASKELL ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
HARTLEY ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
HARRISON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
HARRIS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0.608535432
HARDIN ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
HARDEMAN ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
HANSFORD ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
HAMILTON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
HALL ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
HALE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
GUADALUPE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
